"Source","Target"
"Argentina","Canada"
"Argentina","Mexico"
"Argentina","United States"
"Bolivia","Argentina"
"Bolivia","Brazil"
"Bolivia","Chile"
"Bolivia","Peru"
"Bolivia","United States"
"Brazil","Argentina"
"Brazil","Canada"
"Brazil","Paraguay"
"Brazil","United States"
"Canada","United States"
"Chile","Argentina"
"Chile","United States"
"Colombia","Canada"
"Colombia","Chile"
"Colombia","Costa.Rica"
"Colombia","Ecuador"
"Colombia","Mexico"
"Colombia","Panama"
"Colombia","United States"
"Costa Rica","United States"
"Ecuador","Canada"
"Ecuador","Chile"
"Ecuador","United States"
"El Salvador","Canada"
"El Salvador","Costa.Rica"
"El Salvador","Guatemala"
"El Salvador","Mexico"
"El Salvador","United States"
"Guatemala","Canada"
"Guatemala","Mexico"
"Guatemala","United States"
"Honduras","Mexico"
"Honduras","United States"
"Mexico","Canada"
"Mexico","United States"
"Nicaragua","Canada"
"Nicaragua","Costa.Rica"
"Nicaragua","Panama"
"Nicaragua","United States"
"Panama","United States"
"Paraguay","Argentina"
"Paraguay","United States"
"Peru","Argentina"
"Peru","Canada"
"Peru","Chile"
"Peru","United States"
"Uruguay","Argentina"
"Uruguay","Brazil"
"Uruguay","United States"
"Venezuela","Argentina"
"Venezuela","Brazil"
"Venezuela","Canada"
"Venezuela","Chile"
"Venezuela","Colombia"
"Venezuela","Costa.Rica"
"Venezuela","Ecuador"
"Venezuela","Mexico"
"Venezuela","Panama"
"Venezuela","Peru"
"Venezuela","United States"
"Venezuela","Uruguay"
